ID,NAME,VALUE,DATE,DOUBLED_VALUE,SQUARED_VALUE
ID0001,ITEM1,270,02-02-2026,540,72900
ID0002,ITEM2,160,03-19-2026,320,25600
ID0003,ITEM3,782,07-21-2025,1564,611524
ID0004,ITEM4,949,11-23-2025,1898,900601
ID0005,ITEM5,326,03-15-2026,652,106276
ID0006,ITEM6,298,02-09-2026,596,88804
ID0007,ITEM7,95,09-14-2025,190,9025
ID0008,ITEM8,182,02-06-2026,364,33124
ID0009,ITEM9,340,11-01-2025,680,115600
ID0010,ITEM10,669,05-08-2025,1338,447561
ID0011,ITEM11,895,04-10-2026,1790,801025
ID0012,ITEM12,660,11-15-2025,1320,435600
ID0013,ITEM13,348,04-19-2026,696,121104
ID0014,ITEM14,864,08-17-2025,1728,746496
ID0015,ITEM15,734,06-20-2025,1468,538756
ID0016,ITEM16,359,01-19-2026,718,128881
ID0017,ITEM17,651,05-17-2025,1302,423801
ID0018,ITEM18,957,11-05-2025,1914,915849
ID0019,ITEM19,818,08-02-2025,1636,669124
ID0020,ITEM20,148,01-17-2026,296,21904
ID0021,ITEM21,763,03-27-2026,1526,582169
ID0022,ITEM22,984,06-08-2025,1968,968256
ID0023,ITEM23,481,03-12-2026,962,231361
ID0024,ITEM24,701,06-29-2025,1402,491401
ID0025,ITEM25,583,07-22-2025,1166,339889
ID0026,ITEM26,420,03-23-2026,840,176400
ID0027,ITEM27,42,03-23-2026,84,1764
ID0028,ITEM28,801,02-23-2026,1602,641601
ID0029,ITEM29,753,05-17-2025,1506,567009
ID0030,ITEM30,201,04-30-2025,402,40401
ID0031,ITEM31,639,07-23-2025,1278,408321
ID0032,ITEM32,130,04-13-2026,260,16900
ID0033,ITEM33,696,03-27-2026,1392,484416
ID0034,ITEM34,461,12-09-2025,922,212521
ID0035,ITEM35,902,01-09-2026,1804,813604
ID0036,ITEM36,222,06-20-2025,444,49284
ID0037,ITEM37,790,08-25-2025,1580,624100
ID0038,ITEM38,453,05-20-2025,906,205209
ID0039,ITEM39,183,04-26-2025,366,33489
ID0040,ITEM40,161,01-11-2026,322,25921
ID0041,ITEM41,823,04-01-2026,1646,677329
ID0042,ITEM42,46,01-07-2026,92,2116
ID0043,ITEM43,183,06-04-2025,366,33489
ID0044,ITEM44,697,03-17-2026,1394,485809
ID0045,ITEM45,496,04-17-2026,992,246016
ID0046,ITEM46,51,10-27-2025,102,2601
ID0047,ITEM47,941,12-31-2025,1882,885481
ID0048,ITEM48,965,08-06-2025,1930,931225
ID0049,ITEM49,964,02-08-2026,1928,929296
ID0050,ITEM50,500,03-08-2026,1000,250000
